# Time-averaged data for fix 1
# TimeStep c_pTensor[1] c_pTensor[2] c_pTensor[3]
1000 1118.83 1124.37 1198.52
2000 825.203 776.3 767.607
3000 419.036 460.646 378.351
4000 174.968 222.311 188.619
5000 46.2998 29.275 70.0901
6000 -51.0966 -62.466 -29.2797
7000 -151.151 -104.434 -102.236
8000 -147.456 -180.559 -139.425
9000 -196.364 -205.773 -151.508
10000 -226.574 -260.016 -191.561
11000 -289.007 -265.731 -223.699
12000 -287.995 -234.234 -229.917
13000 -263.169 -313.031 -266.23
14000 -275.304 -263.546 -223.692
15000 -186.063 -193.389 -168.191
16000 -190.98 -162.465 -142.541
17000 -167.566 -159.91 -117.532
18000 -129.789 -116.548 -44.9013
19000 -86.3209 -100.128 -4.88637
20000 -51.0842 -28.5694 32.381
21000 -52.0924 -37.854 1.57262
22000 -49.6607 -36.0482 -23.5968
23000 -47.2011 -69.9179 -23.9918
24000 -18.0735 -45.2771 2.83993
25000 -47.2801 -72.8753 -12.5216
26000 -80.1963 -64.1911 -33.8813
27000 -78.9875 -67.4822 -44.8162
28000 -66.4858 -72.0983 -4.63672
29000 -67.2493 -68.6493 -44.2403
30000 -71.2607 -80.0415 -56.3528
31000 -51.4957 -52.6815 16.9304
32000 -49.5274 -36.4075 12.1011
33000 -29.7967 -25.9799 12.5102
34000 -36.8955 -3.35716 17.7363
35000 -41.8886 0.269157 12.7624
36000 -26.3439 -30.5714 24.1885
37000 -59.3016 -64.0029 -3.65129
38000 -58.6347 -26.5424 -31.5232
39000 -56.5941 2.77355 14.7495
40000 -83.6386 -60.7481 -12.0096
41000 -77.0735 -51.8004 -22.4029
42000 -45.1111 -34.3744 32.34
43000 -31.1003 -53.0803 0.537852
44000 -9.36249 -47.252 -13.3945
45000 -19.995 -23.1123 2.99241
46000 -44.8588 -10.4373 8.77628
47000 -21.3463 -10.5928 33.3114
48000 2.8638 -34.2636 19.5027
49000 -11.5541 -54.0484 14.2995
50000 -1.44707 -37.9296 20.5134
51000 -41.1837 -46.2003 -13.834
52000 -64.8972 -82.5759 -47.6472
53000 -21.7796 -49.9993 -7.57158
54000 -35.3359 -31.1986 -40.3436
55000 -52.3081 -47.5723 5.65487
56000 -40.0548 -29.1182 17.6342
57000 -32.6758 -53.1744 -17.9702
58000 -40.605 -11.4441 16.5683
59000 17.4125 -30.5817 14.5854
60000 -30.7824 -45.7735 5.76895
61000 -11.6586 -29.4252 -14.7861
62000 -31.5277 -6.11666 49.3045
63000 -45.8766 -52.4635 -14.1249
64000 -57.0472 -14.2877 2.47805
65000 -40.929 -49.8513 8.76518
66000 -39.4994 -27.813 -28.6109
67000 -41.0463 13.7657 22.7113
68000 -40.4496 -2.21896 21.8095
69000 -58.2577 -10.3867 7.62973
